t,returns,jump_true,jump_size_true
0,0.00354717,0,-0.0
1,-0.00989984,0,-0.0
2,0.00800451,0,-0.0
3,0.00990565,0,0.0
4,-0.01901035,0,-0.0
5,-0.0125218,0,-0.0
6,0.0017784,0,-0.0
7,-0.00266243,0,-0.0
8,0.00033199,0,-0.0
9,-0.00803044,0,0.0
10,0.00929398,0,-0.0
11,0.00827792,0,-0.0
12,0.00116031,0,-0.0
13,0.01177241,0,-0.0
14,0.00517509,0,-0.0
15,-0.00809292,0,0.0
16,0.00418751,0,-0.0
17,-0.00908883,0,-0.0
18,0.0092845,0,0.0
19,7.4e-07,0,-0.0
20,-0.00134862,0,-0.0
21,-0.0063093,0,0.0
22,0.01272541,0,-0.0
23,-0.00104529,0,-0.0
24,-0.00378328,0,0.0
25,-0.0182424,1,-0.01522107
26,0.00582309,0,-0.0
27,0.00415444,0,-0.0
28,0.00462733,0,-0.0
29,0.00480821,0,-0.0
30,0.00235688,1,-0.0195596
31,-0.00356415,0,-0.0
32,-0.00462243,0,-0.0
33,-0.00763773,0,-0.0
34,0.00665979,0,-0.0
35,0.01178972,0,-0.0
36,-0.00063947,0,-0.0
37,-0.00790156,0,-0.0
38,-0.00774481,0,-0.0
39,0.00700593,0,-0.0
40,0.00793254,0,0.0
41,0.00593154,0,-0.0
42,-0.0061551,0,-0.0
43,0.00282161,0,-0.0
44,0.00166686,0,-0.0
45,0.00268689,0,0.0
46,0.00921429,0,-0.0
47,0.00273596,0,0.0
48,0.00728914,0,-0.0
49,-0.00998642,1,-0.01116221
50,0.00339119,0,0.0
51,0.00681288,0,-0.0
52,-0.01407156,0,0.0
53,-0.00269671,0,-0.0
54,-0.00420373,0,-0.0
55,-0.00588878,0,-0.0
56,-0.00225142,0,-0.0
57,0.01544941,0,-0.0
58,-0.00815831,0,-0.0
59,0.01018278,0,-0.0
60,-0.0163287,0,0.0
61,-0.00284885,0,-0.0
62,0.00212753,0,0.0
63,0.00636222,0,0.0
64,0.00761227,0,-0.0
65,0.00843347,0,-0.0
66,-0.00298725,0,-0.0
67,-0.00412352,0,-0.0
68,0.00907976,0,-0.0
69,-0.00141304,0,-0.0
70,-0.01225686,0,-0.0
71,-0.01083287,0,0.0
72,-0.00869452,0,-0.0
73,-0.00313777,1,-0.00860937
74,0.00192426,0,-0.0
75,0.00740485,0,-0.0
76,-0.00377253,0,0.0
77,0.0020854,0,-0.0
78,0.0067559,0,-0.0
79,-0.02847359,1,-0.02588013
80,0.00506775,0,-0.0
81,-0.00611926,0,-0.0
82,-0.00313054,0,-0.0
83,-0.00331738,0,-0.0
84,-0.0114584,0,-0.0
85,0.00536972,0,-0.0
86,-0.00419402,0,-0.0
87,0.00062494,0,-0.0
88,0.00530747,0,-0.0
89,0.00496531,0,-0.0
90,0.00715385,0,-0.0
91,-0.00048485,0,-0.0
92,-0.00373298,0,-0.0
93,-0.00029718,0,-0.0
94,-0.00570113,1,0.01067222
95,-0.01065894,1,0.00331219
96,-0.012727,0,-0.0
97,-0.00947247,0,-0.0
98,0.00449774,0,-0.0
99,-0.0145202,1,-0.00596541
100,-0.00328163,0,-0.0
101,0.01349228,0,-0.0
102,-0.00306264,0,-0.0
103,0.00787516,0,0.0
104,-0.00883618,0,-0.0
105,-0.00155438,0,0.0
106,-0.00900022,0,0.0
107,-0.00289033,0,-0.0
108,0.00890308,0,-0.0
109,-0.0167732,0,0.0
110,0.00484424,0,-0.0
111,0.00287736,0,-0.0
112,-0.0054415,0,-0.0
113,-0.01396058,0,0.0
114,0.0012213,0,-0.0
115,-0.00479493,0,-0.0
116,0.00282676,0,0.0
117,0.00071852,0,-0.0
118,0.01651779,0,-0.0
119,-0.00189356,0,-0.0
120,-0.00973497,0,-0.0
121,0.00229276,0,-0.0
122,0.00269997,0,0.0
123,0.01409188,0,-0.0
124,0.00885111,0,-0.0
125,0.00406871,0,-0.0
126,0.01513303,0,-0.0
127,-0.01138763,0,-0.0
128,-0.00589752,0,-0.0
129,-0.00876576,0,0.0
130,-0.0033981,0,-0.0
131,-0.01326686,0,-0.0
132,0.00685151,0,-0.0
133,-0.00172223,0,-0.0
134,-0.01420806,0,-0.0
135,-0.00965579,0,-0.0
136,0.00363514,0,0.0
137,0.00888127,0,-0.0
138,0.02046731,0,-0.0
139,0.02963862,0,0.0
140,0.00464409,0,-0.0
141,-0.00939538,0,0.0
142,-0.02082046,0,-0.0
143,0.00317711,0,-0.0
144,-0.00762941,0,-0.0
145,-0.00365357,0,-0.0
146,-0.00562097,0,-0.0
147,-0.00090791,0,0.0
148,0.0111598,0,-0.0
149,0.00207049,0,0.0
150,-0.00108635,0,-0.0
151,-0.00985654,0,-0.0
152,0.04487272,1,0.06111955
153,-0.00436308,0,-0.0
154,-3.783e-05,0,-0.0
155,0.0181793,0,-0.0
156,0.00180275,0,-0.0
157,0.0103274,0,0.0
158,-0.03542427,1,-0.03093132
159,-0.01134944,0,-0.0
160,-0.00915117,0,-0.0
161,-0.00675226,0,0.0
162,0.0217847,0,-0.0
163,-0.00771387,0,-0.0
164,0.00888489,0,-0.0
165,-0.00852927,0,-0.0
166,0.00981573,0,-0.0
167,0.00434951,0,-0.0
168,-0.00106638,0,0.0
169,9.237e-05,0,-0.0
170,-0.00604788,0,-0.0
171,0.00496072,0,-0.0
172,-0.00404983,0,0.0
173,-0.01175606,0,-0.0
174,-0.01227938,0,-0.0
175,0.00222588,0,0.0
176,0.01629091,0,0.0
177,0.00209992,0,-0.0
178,-0.00068638,0,-0.0
179,0.00335826,0,-0.0
180,0.01356002,0,-0.0
181,0.00269383,0,-0.0
182,-0.00360927,0,-0.0
183,0.01156289,0,-0.0
184,0.00478756,0,-0.0
185,0.01585756,0,-0.0
186,0.00233234,0,-0.0
187,-0.01174469,0,-0.0
188,-0.01318159,0,-0.0
189,0.01700928,0,-0.0
190,0.01773666,0,0.0
191,-0.00129519,0,-0.0
192,-0.00333187,0,-0.0
193,0.01511444,0,-0.0
194,-0.01057046,0,-0.0
195,-0.00844727,0,-0.0
196,0.00693327,0,-0.0
197,-0.00344605,0,-0.0
198,0.00044878,0,0.0
199,-0.00113443,0,-0.0
