t,S_true,I_true,R_true,y_obs
0,9990,10,0,7
1,9986,11,3,3
2,9981,16,3,6
3,9976,18,6,8
4,9974,17,9,8
5,9971,19,10,6
6,9962,28,10,11
7,9956,32,12,13
8,9946,39,15,20
9,9937,42,21,23
10,9922,55,23,28
11,9903,70,27,35
12,9875,90,35,51
13,9853,101,46,49
14,9823,125,52,74
15,9785,144,71,77
16,9746,169,85,109
17,9709,188,103,85
18,9660,218,122,126
19,9585,271,144,134
20,9503,323,174,179
21,9403,381,216,191
22,9300,440,260,230
23,9151,545,304,276
24,8978,681,341,369
25,8775,821,404,430
26,8552,976,472,467
27,8313,1125,562,554
28,8014,1323,663,698
29,7672,1539,789,755
30,7341,1727,932,870
31,6950,1945,1105,982
32,6540,2147,1313,1070
33,6104,2388,1508,1182
34,5673,2581,1746,1244
35,5183,2784,2033,1412
36,4747,2966,2287,1576
37,4329,3083,2588,1482
38,3909,3179,2912,1644
39,3564,3189,3247,1557
40,3221,3190,3589,1597
41,2917,3179,3904,1560
42,2617,3175,4208,1585
43,2356,3145,4499,1590
44,2130,3038,4832,1463
45,1951,2934,5115,1444
46,1793,2794,5413,1447
47,1647,2660,5693,1416
48,1502,2556,5942,1233
49,1395,2411,6194,1211
50,1298,2290,6412,1184
51,1223,2121,6656,1064
52,1142,2009,6849,981
53,1073,1879,7048,976
54,1009,1772,7219,907
55,957,1652,7391,815
56,913,1524,7563,784
57,872,1411,7717,669
58,832,1309,7859,616
59,803,1218,7979,638
60,767,1129,8104,559
61,738,1024,8238,494
62,714,953,8333,502
63,701,881,8418,431
64,682,811,8507,390
65,661,748,8591,401
66,652,696,8652,349
67,639,635,8726,319
68,622,594,8784,294
69,613,545,8842,272
70,601,488,8911,226
71,590,451,8959,211
72,580,413,9007,162
73,577,383,9040,215
74,573,362,9065,185
75,564,341,9095,167
76,557,312,9131,169
77,553,294,9153,146
78,546,270,9184,155
79,541,255,9204,102
80,537,235,9228,128
81,534,216,9250,116
82,529,202,9269,92
83,525,178,9297,87
84,521,170,9309,79
85,520,157,9323,77
86,519,139,9342,60
87,516,127,9357,61
88,512,116,9372,54
89,510,110,9380,54
90,510,103,9387,54
91,509,91,9400,61
92,508,85,9407,35
93,508,76,9416,45
94,506,67,9427,33
95,506,63,9431,32
96,506,61,9433,28
97,503,53,9444,25
98,501,51,9448,29
99,500,45,9455,30
100,498,45,9457,25
101,497,41,9462,19
102,496,42,9462,15
103,496,40,9464,22
104,494,37,9469,21
105,494,35,9471,15
106,494,30,9476,12
107,494,24,9482,7
108,494,24,9482,7
109,494,24,9482,9
110,494,21,9485,12
111,493,20,9487,11
112,493,15,9492,8
113,493,14,9493,14
114,492,12,9496,6
115,492,7,9501,3
116,492,7,9501,0
117,492,6,9502,3
118,492,6,9502,2
119,491,7,9502,2
120,491,7,9502,4
121,491,6,9503,2
122,491,6,9503,4
123,491,6,9503,7
124,491,6,9503,3
125,491,6,9503,2
126,491,6,9503,6
127,491,5,9504,4
128,491,5,9504,2
129,491,5,9504,1
130,491,4,9505,0
131,491,4,9505,0
132,491,3,9506,2
133,491,2,9507,2
134,491,2,9507,0
135,491,2,9507,3
136,491,1,9508,0
137,491,1,9508,0
138,491,1,9508,1
139,491,1,9508,1
140,491,1,9508,1
141,491,1,9508,0
142,491,1,9508,0
143,491,1,9508,0
144,491,0,9509,0
145,491,0,9509,0
146,491,0,9509,0
147,491,0,9509,0
148,491,0,9509,0
149,491,0,9509,0
150,491,0,9509,0
151,491,0,9509,1
152,491,0,9509,0
153,491,0,9509,0
154,491,0,9509,0
155,491,0,9509,0
156,491,0,9509,1
157,491,0,9509,0
158,491,0,9509,0
159,491,0,9509,0
160,491,0,9509,0
161,491,0,9509,0
162,491,0,9509,0
163,491,0,9509,0
164,491,0,9509,0
165,491,0,9509,0
166,491,0,9509,0
167,491,0,9509,0
168,491,0,9509,0
169,491,0,9509,0
170,491,0,9509,0
171,491,0,9509,0
172,491,0,9509,0
173,491,0,9509,0
174,491,0,9509,0
175,491,0,9509,0
176,491,0,9509,0
177,491,0,9509,0
178,491,0,9509,0
179,491,0,9509,0
180,491,0,9509,0
181,491,0,9509,0
182,491,0,9509,0
183,491,0,9509,0
184,491,0,9509,0
185,491,0,9509,0
186,491,0,9509,0
187,491,0,9509,0
188,491,0,9509,0
189,491,0,9509,0
190,491,0,9509,1
191,491,0,9509,0
192,491,0,9509,0
193,491,0,9509,0
194,491,0,9509,0
195,491,0,9509,0
196,491,0,9509,0
197,491,0,9509,0
198,491,0,9509,0
199,491,0,9509,0
