t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true
0,-0.230017,-0.013731,-0.219254,0.0,0.0,0.0
1,0.172867,-0.17448,-0.058619,0.030472,-0.094857,-0.003812
2,-0.114815,0.126035,-0.023718,0.121481,-0.206088,-0.146906
3,0.008858,-0.165826,-0.08765,0.122117,-0.098033,-0.142958
4,-0.10032,-0.053578,-0.022513,0.024601,0.046304,-0.047405
5,0.293773,0.209601,0.164317,0.028744,0.144499,0.06345
6,0.005998,0.128885,0.084803,-0.06006,0.091107,0.036357
7,-0.008556,-0.160021,0.173722,0.033791,0.050698,0.05195
8,0.062063,0.304701,0.186389,-0.037681,0.136299,0.094447
9,-0.498184,-0.004217,0.24395,-0.076746,0.009912,0.09178
10,-0.041153,-0.130168,0.142575,-0.032527,0.036472,0.106695
11,0.584394,0.211379,0.203779,0.184891,0.033062,0.113253
12,0.111494,0.197487,0.185161,0.085024,0.103636,0.215874
13,0.07871,-0.202341,0.078025,0.065127,-0.012659,0.138171
14,0.2333,0.371675,0.385655,0.123674,0.105098,0.214978
15,0.223877,0.188011,0.252984,0.044755,0.089192,0.231364
16,-0.337345,0.148854,0.36438,0.062149,0.150383,0.283892
17,-0.21264,0.35763,0.338257,0.123825,0.119097,0.325883
18,0.21663,-0.009901,0.204088,0.174572,-0.033796,0.26274
19,-0.032898,-0.051975,0.195667,0.110077,-0.047762,0.194569
20,0.510969,-0.13494,0.379433,0.248564,-0.035895,0.235834
21,-0.007615,0.052468,0.246008,0.05542,-0.03481,0.190484
22,-0.278406,0.157758,0.085741,0.1085,0.086268,0.256888
23,-0.190825,0.017934,0.247307,0.062778,0.015732,0.268831
24,-0.512566,-0.22699,0.289858,0.03737,-0.108492,0.111629
25,-0.105138,-0.002534,0.05237,-0.058313,-0.022024,0.07375
26,-0.02111,-0.059237,-0.134191,0.016567,-0.048767,0.045857
27,-0.007423,-0.232098,0.248285,0.07747,-0.032077,0.05898
28,0.219306,-0.272057,0.0714,0.00353,-0.051285,0.00316
29,0.123297,0.072906,-0.057158,-0.116407,-0.011867,-0.050157
30,-0.137595,-0.379197,-0.070101,-0.103517,0.011086,-0.032959
31,-0.453565,0.018518,0.049231,-0.026627,-0.012294,-0.059005
32,0.091521,-0.256173,-0.272375,-0.031936,-0.184461,-0.218177
33,-0.04994,-0.044022,-0.192059,-0.161012,-0.240259,-0.306885
34,-0.173581,-0.302604,-0.28771,-0.235459,-0.228583,-0.34193
35,-0.051243,-0.015879,-0.402665,-0.247539,-0.114802,-0.427134
36,-0.476295,-0.284939,-0.505474,-0.243329,-0.225402,-0.520025
37,0.266786,-0.30886,-0.60175,-0.134965,-0.325923,-0.584253
38,-0.289581,-0.141159,-0.580523,-0.097695,-0.251685,-0.685087
39,0.069132,-0.272389,-0.740616,-0.080713,-0.203006,-0.654081
40,-0.407926,0.187021,-0.692748,-0.070456,0.037538,-0.530555
41,-0.351813,-0.162086,-0.391668,-0.16576,-0.013031,-0.453112
42,0.290008,0.117205,-0.247668,-0.013266,0.073016,-0.310791
43,0.082211,0.096345,-0.226744,0.134391,-0.042051,-0.274768
44,0.196279,0.047487,-0.267976,0.028294,-0.051518,-0.308749
45,0.136371,0.266179,-0.345441,0.08898,-0.021287,-0.313387
46,-0.042467,-0.100251,-0.127218,-0.021476,0.014265,-0.205966
47,0.453115,0.14575,0.063772,0.180345,0.352622,0.068328
48,0.016025,-0.167037,0.023064,0.063357,-0.017887,0.071776
49,-0.380421,0.041305,-0.038108,-0.024273,-0.057761,-0.006919
50,-0.196573,0.141628,0.230666,-0.035925,0.06694,0.028602
51,0.062042,-0.069216,-0.286266,-0.048196,-0.084554,-0.112769
52,-0.012905,-0.243701,-0.00787,-0.092007,-0.075257,-0.057849
53,-0.383191,0.154742,-0.233255,-0.069779,0.039712,-0.065344
54,-0.326164,-0.31475,-0.201141,-0.181295,-0.131045,-0.190318
55,-0.066663,0.041086,-0.210135,0.049681,-0.132757,-0.166772
56,-0.118674,0.441721,-0.325236,-0.04558,0.013105,-0.116733
57,-0.331868,0.040438,-0.105824,-0.056686,-0.014529,-0.144728
58,-0.132084,0.03278,-0.243691,-0.00641,-0.054686,-0.205688
59,-0.279285,-0.124082,-0.347305,-0.133563,-0.050153,-0.137384
60,0.050099,-0.339734,-0.066602,-0.104207,-0.068202,-0.150559
61,0.198638,-0.091527,0.00931,0.036814,-0.001119,-0.13419
62,0.114599,-0.07849,0.189923,0.143761,0.085445,0.04091
63,0.069301,-0.252463,0.012052,0.147709,-0.035412,-0.023844
64,0.326015,0.502424,0.158195,0.29803,0.24407,0.15359
65,0.066594,0.378081,0.414893,0.229909,0.337152,0.282077
66,-0.111921,0.325095,0.53173,0.117445,0.268142,0.363492
67,-0.082856,0.10293,0.516708,0.105188,0.149283,0.403351
68,0.108455,0.128395,0.384971,0.235418,0.154325,0.479124
69,-0.225836,0.219031,0.399818,0.006859,0.074349,0.379684
70,-0.083296,-0.090204,0.265174,-0.115708,-0.085353,0.221223
71,0.133396,-0.099476,-0.094502,-0.012547,-0.17908,0.08646
72,-0.377129,-0.169621,0.08419,-0.05971,-0.14022,0.037254
73,0.005099,0.012329,0.281217,7.3e-05,0.063652,0.053918
74,-0.113516,-0.222456,0.099638,-0.069529,-0.011419,0.035644
75,0.023383,-0.424286,0.107586,-0.044918,-0.127624,-0.039756
76,-0.020191,0.14342,0.168136,-0.017604,0.182654,0.149844
77,-0.391888,0.040713,0.035267,-0.101168,0.032239,0.042589
78,-0.402599,-0.190276,0.103788,-0.150122,0.002643,0.065661
79,-0.202133,-0.13167,-0.241271,-0.208018,-0.126498,-0.159688
80,0.002274,-0.222473,-0.406564,-0.203483,-0.230535,-0.310187
81,-0.713658,-0.529341,-0.366539,-0.27082,-0.20594,-0.49317
82,-0.321298,-0.144447,-0.403351,-0.390443,-0.007178,-0.540585
83,-0.223153,0.102869,-0.457651,-0.461077,0.041779,-0.35854
84,-0.562731,-0.117514,-0.367166,-0.532126,-0.175573,-0.463966
