t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
0,-0.230017,-0.013731,-0.219254,0.0,0.0,0.0,-0.17223336664734656,-0.047386698162621865,-0.19860310352274974,0.16678458261190018,0.11192608463839011,0.09623735069752952,2000.0,1
1,0.172867,-0.17448,-0.058619,0.030472,-0.094857,-0.003812,-0.0014052330005244037,-0.04586694646319695,-0.12423806476083915,0.12074668707224172,0.08796773724892676,0.07200135432132587,2000.0,1
2,-0.114815,0.126035,-0.023718,0.121481,-0.206088,-0.146906,0.0028728119001541754,0.044151528877011334,-0.0535056576497228,0.10729372083740676,0.08614655025657325,0.07326764340602528,1031.6382812346474,0
3,0.008858,-0.165826,-0.08765,0.122117,-0.098033,-0.142958,-0.02192361770239163,-0.04897372224159794,-0.08436203449581134,0.10587649929159611,0.08286653793745596,0.07421104313399157,2000.0,1
4,-0.10032,-0.053578,-0.022513,0.024601,0.046304,-0.047405,-0.032299332003143756,-0.023616002029992575,-0.06287711182950428,0.10662335628165474,0.08252253231076882,0.07177512909751271,1312.4816426559228,0
5,0.293773,0.209601,0.164317,0.028744,0.144499,0.06345,0.13496577158465367,0.12159703927933312,0.09883379875446548,0.11058409401006872,0.08114321466826603,0.07297837791210401,2000.0,1
6,0.005998,0.128885,0.084803,-0.06006,0.091107,0.036357,0.0725415623834088,0.08338504885186018,0.11316852438149164,0.10675664563367657,0.08135776173077061,0.07027774846943148,1268.0294749917703,0
7,-0.008556,-0.160021,0.173722,0.033791,0.050698,0.05195,0.049290391430605596,0.004832944427758283,0.1262446818711192,0.10996013781396427,0.08272385109508032,0.07152892998636445,2000.0,1
8,0.062063,0.304701,0.186389,-0.037681,0.136299,0.094447,0.07940906038889119,0.12336334721612267,0.18731079814525925,0.11062100309016935,0.07953412978566374,0.071401896420255,2000.0,1
9,-0.498184,-0.004217,0.24395,-0.076746,0.009912,0.09178,-0.08506190536907506,0.04882699285203554,0.17673070714168085,0.11176006893603593,0.08362953563066412,0.0687165632762772,2000.0,1
