t,y_obs,S_true,I_true,R_true,S_filt,I_filt,R_filt,I_q05,I_q50,I_q95,R0_mean,R0_q05,R0_q95,ess,log_lik_inc
0,7.0,9990.0,10.0,0.0,9986.791472864978,12.297369415621382,0.9111577193915521,9.0,12.0,16.0,3.1879300376835458,1.9679122978072017,4.850315516619996,4825.66382287228,-2.06615429014059
1,3.0,9986.0,11.0,3.0,9985.098837985746,12.295582255430542,2.605579758822015,8.0,12.0,17.0,2.992622420868699,1.8274511480241027,4.510000453152563,3437.694748193736,-2.8700154557823803
2,6.0,9981.0,16.0,3.0,9982.328004562354,13.762738509734959,3.909256927913879,9.0,14.0,19.0,2.929849712731811,1.8023669429076346,4.413443656944432,2761.377449323326,-2.1070821335112857
3,8.0,9976.0,18.0,6.0,9978.549799999993,16.192999999999987,5.257199999999996,11.0,16.0,22.0,2.927789196419074,1.832549519068362,4.318025601269246,5000.000000000007,-2.221914234285448
4,8.0,9974.0,17.0,9.0,9975.170871689252,17.904684513246618,6.924443797497464,12.0,18.0,25.0,2.860692107950528,1.8055167302257131,4.23121198578549,4404.178441782752,-2.2929094228692737
5,6.0,9971.0,19.0,10.0,9973.83482197878,17.33937182396044,8.825806197260349,12.0,17.0,24.0,2.6689993855375582,1.6926153984329204,3.8881963899182823,2645.5181592831677,-2.7427587956272816
6,11.0,9962.0,28.0,10.0,9968.546199999993,20.93779999999998,10.515999999999991,14.0,21.0,28.0,2.7056955983244193,1.7643058279440385,3.896037356719064,5000.000000000007,-2.44470507862689
7,13.0,9956.0,32.0,12.0,9962.293424094372,25.109644046057376,12.596931859566403,18.0,25.0,33.0,2.7356164087566794,1.8381427712640201,3.906387518785993,4454.956977618142,-2.512472229661366
8,20.0,9946.0,39.0,15.0,9950.731090227036,33.992242755925005,15.276667017036619,26.0,34.0,43.0,2.8972704670480764,2.0031888793836985,4.096241534830999,2805.613539239748,-3.2341218463875956
9,23.0,9937.0,42.0,21.0,9938.539799999993,42.70759999999997,18.752599999999987,33.0,42.0,53.0,2.976472982376067,2.0973538120512107,4.188661200536545,5000.000000000007,-2.9102795687460423
10,28.0,9922.0,55.0,23.0,9923.874999799578,53.01410619003316,23.110894010382804,42.0,53.0,65.0,3.041237892305346,2.180663960046753,4.288726969145963,4254.687170356962,-2.9686401238794193
11,35.0,9903.0,70.0,27.0,9905.234206937133,66.24725857479666,28.518534488068006,54.0,66.0,79.33008671955685,3.1132843073406207,2.26187194272147,4.4285095815678694,3182.267676619122,-3.1085017317957444
12,51.0,9875.0,90.0,35.0,9874.827999999992,89.82159999999992,35.35039999999997,75.0,90.0,105.0,3.33102345345283,2.404063762580528,4.7848642076162955,5000.000000000007,-4.03497208568262
13,49.0,9853.0,101.0,46.0,9852.175218731216,103.7326570975815,44.092124171195366,88.0,103.0,121.0,3.2368118189126402,2.379634031838451,4.510444437509941,4037.7226638736643,-3.323668934664992
14,74.0,9823.0,125.0,52.0,9809.640735337922,136.2868609063761,54.072403755705835,118.0,136.0,155.0,3.4180878778351724,2.5006227101526757,4.7848642076162955,3150.117817091083,-3.923014192879082
15,77.0,9785.0,144.0,71.0,9772.45179648647,160.2697893021185,67.27841421140724,141.0,160.0,181.0,3.33559356291045,2.49649821415419,4.627565873790584,2573.3170935817693,-3.513373434922123
16,109.0,9746.0,169.0,85.0,9712.07999999999,205.59259999999983,82.32739999999994,183.0,205.0,228.0,3.474180846181159,2.6388549561250976,4.7789475584397385,5000.000000000007,-3.975997689461945
17,85.0,9709.0,188.0,103.0,9685.261399999992,210.89999999999984,103.83859999999993,187.0,211.0,235.0,3.066027657267703,2.340065465811549,3.9950268392356807,5000.000000000007,-7.355214504690437
18,126.0,9660.0,218.0,122.0,9623.224999047903,251.8783245825622,124.89667636953551,226.0,251.0,278.0,3.083670923864644,2.368695263648593,3.958711287138958,4338.798603583604,-3.6786411809159727
19,134.0,9585.0,271.0,144.0,9563.809336049904,284.5474011731196,151.64326277697648,257.0,285.0,312.0,2.955739237885277,2.3248992134335813,3.851301422746992,2980.0898656741856,-4.14611845851715
20,179.0,9503.0,323.0,174.0,9473.883399999993,346.8611999999997,179.25539999999987,318.0,347.0,377.0,3.0378719431991614,2.340065465811549,3.860381982445136,5000.000000000007,-4.033480378297503
21,191.0,9403.0,381.0,216.0,9387.400654770807,396.8094165821534,215.78992864705015,365.0,397.0,429.0,2.960182277293409,2.3248992134335813,3.8485917046522626,3784.1436791728215,-4.1071877372713175
22,230.0,9300.0,440.0,260.0,9280.068553052122,463.6229808268288,256.3084661210476,430.0,464.0,498.0,2.9487307303588035,2.3248992134335813,3.82953993734385,3025.3890614696465,-3.9562520529611707
23,276.0,9151.0,545.0,304.0,9150.664799999995,547.2317999999996,302.10339999999974,511.0,547.0,583.0,2.977527876152312,2.340065465811549,3.82953993734385,5000.000000000007,-4.063118178083915
24,369.0,8978.0,681.0,341.0,8967.219399999994,683.2119999999995,349.5685999999997,645.0,682.0,723.0,3.161780641513823,2.559335878142729,3.938920943578991,5000.000000000007,-6.149847136683603
25,430.0,8775.0,821.0,404.0,8761.664127033433,827.2827391570552,411.0531338095125,784.0,827.0,872.0,3.262103091349495,2.6388549561250976,4.726200371419088,3074.171081428847,-4.8427413978662575
26,467.0,8552.0,976.0,472.0,8553.465375589267,953.2505457805406,493.2840786301949,905.0,953.0,1002.0,3.211205602173338,2.6174027660072547,4.053796928644232,3040.5766540940854,-4.460821951041165
27,554.0,8313.0,1125.0,562.0,8307.616799999993,1107.8629999999991,584.5201999999995,1056.0,1108.0,1161.0,3.212815050326008,2.6388549561250976,4.053796928644232,5000.000000000007,-4.382138135661738
28,698.0,8014.0,1323.0,663.0,8009.037999999993,1332.4917999999989,658.4701999999994,1275.0,1331.0,1388.0000000003554,3.41522127132207,2.7886144257523884,4.7789475584397385,5000.000000000007,-5.915185939008373
29,755.0,7672.0,1539.0,789.0,7693.181756998556,1523.1799369859766,783.6383060154617,1461.0,1523.0,1586.0,3.3859543644221217,2.7886144257523884,4.726200371419088,4325.830850167676,-4.589564350918872
30,870.0,7341.0,1727.0,932.0,7341.106526852831,1738.9019860749886,919.9914870721834,1672.2311213498506,1738.0,1806.0,3.3947410871908756,2.8310593145962,4.726200371419088,3544.9848576619374,-4.617925486200277
31,982.0,6950.0,1945.0,1105.0,6953.220855155934,1965.7873320275748,1080.9918128164932,1896.0,1966.0,2036.856215872097,3.3846322375159703,2.835268131748658,4.726200371419088,2804.0294510120475,-4.684832472547103
32,1070.0,6540.0,2147.0,1313.0,6517.033399999995,2172.1759999999986,1310.790599999999,2096.0,2171.0,2247.0,3.2596230955267385,2.835268131748658,3.860381982445136,5000.000000000007,-4.935999508603143
33,1182.0,6104.0,2388.0,1508.0,6069.1666009048695,2382.1807562156637,1548.6526428794718,2303.0,2382.5067268238654,2460.0,3.1947406129746794,2.835268131748658,3.82953993734385,4211.422372626367,-4.8459316905369185
34,1244.0,5673.0,2581.0,1746.0,5586.518599999996,2544.151399999998,1869.3299999999986,2461.0,2544.0,2626.0,3.0597413853341306,2.7849812253600996,3.425705065418871,5000.000000000007,-5.38983278741196
35,1412.0,5183.0,2784.0,2033.0,5178.874921815508,2772.746370527239,2048.378707657246,2691.0,2772.0,2857.0,3.1490491789961066,2.8603571778588863,3.4921747359240904,3273.113618641154,-5.319398326939228
36,1576.0,4747.0,2966.0,2287.0,4848.818599999996,3042.6067999999977,2108.5745999999986,2950.0,3044.0,3141.0,3.3649063116496456,3.0728717648832093,3.82953993734385,5000.000000000007,-6.906643924971451
37,1482.0,4329.0,3083.0,2588.0,4267.163399999997,3091.1515999999974,2641.6849999999977,2996.0,3093.0,3175.0,3.1398690106429497,2.9308213766698303,3.298357710199571,5000.000000000007,-7.298392041032893
38,1644.0,3909.0,3179.0,2912.0,3894.0830578596406,3234.5101327390767,2871.4068094012882,3152.0,3233.0,3322.0,3.1861803723606514,3.0616179333514215,3.4206056800425095,3563.1078216665674,-5.289846775825108
39,1557.0,3564.0,3189.0,3247.0,3430.466628643022,3226.5690893227043,3342.9642820342733,3134.0,3229.0,3315.0,3.1118830267202116,2.93458776074886,3.215904722293132,2783.161194692891,-6.571845260256494
40,1597.0,3221.0,3190.0,3589.0,3058.7925999999975,3224.5629999999974,3716.644399999997,3138.000000000001,3224.0,3314.0,3.0942020217795205,2.93458776074886,3.2052108652440494,5000.000000000007,-5.036428359641744
41,1560.0,2917.0,3179.0,3904.0,2703.9979310876424,3167.370575404184,4128.631493508185,3082.0,3165.0,3257.0,3.0681911354778144,2.9221313557162985,3.186977895143423,3634.4049562629666,-5.21651412144384
42,1585.0,2617.0,3175.0,4208.0,2450.5055961064154,3135.942838176251,4413.551565717332,3048.0,3136.0,3227.0,3.081339119375325,2.93458776074886,3.186977895143423,3404.9421688597313,-5.065140782140552
43,1590.0,2356.0,3145.0,4499.0,2267.7083999999986,3112.8297999999977,4619.461799999997,3022.0,3116.0,3192.0,3.105718715394458,2.991721046286128,3.186977895143423,5000.000000000007,-5.587169381581402
44,1463.0,2130.0,3038.0,4832.0,2010.2517641743148,2981.3400300220974,5008.408205803594,2891.903096615901,2983.0,3066.0,3.0941474966553306,2.991721046286128,3.186977895143423,3539.374162899711,-5.284760366671904
45,1444.0,1951.0,2934.0,5115.0,1837.2225015087581,2878.318596760033,5284.45890173121,2789.0,2881.0,2959.0,3.099287025954034,2.991721046286128,3.186977895143423,3268.7937008997546,-4.875113858687865
46,1447.0,1793.0,2794.0,5413.0,1721.6042386006707,2807.686495285391,5470.709266113943,2737.0,2808.0,2875.0,3.1109620532747373,2.991721046286128,3.186977895143423,2619.080058540362,-5.849430151819668
47,1416.0,1647.0,2660.0,5693.0,1598.3311999999987,2723.4559999999983,5678.212799999996,2660.0,2724.0,2787.0,3.109855837967232,2.991721046286128,3.186977895143423,5000.000000000007,-6.244426011724435
48,1233.0,1502.0,2556.0,5942.0,1447.0597515725908,2552.775561655303,6000.1646867721065,2487.0,2552.9802724630504,2617.0,3.1107978403918626,2.991721046286128,3.186977895143423,2988.373172394564,-5.698972742358356
49,1211.0,1395.0,2411.0,6194.0,1334.6573411566164,2415.895817330397,6249.44684151299,2355.0,2415.0,2478.0,3.1101097704416354,2.991721046286128,3.186977895143423,3000.7720785286174,-4.6452370386531525
50,1184.0,1298.0,2290.0,6412.0,1249.5593586309865,2301.891080640975,6448.549560728037,2243.0,2301.0,2362.0,3.10611910342832,2.991721046286128,3.186977895143423,3070.4501578759255,-5.290266120537827
51,1064.0,1223.0,2121.0,6656.0,1156.9880030227898,2152.9203050323513,6690.091691944854,2095.0,2153.0,2211.0,3.106798021456054,2.991721046286128,3.186977895143423,2771.3091156358314,-4.669655358811578
52,981.0,1142.0,2009.0,6849.0,1073.388799999999,2001.1353999999983,6925.475799999995,1947.0,2001.0,2057.0,3.1084452095224826,2.991721046286128,3.186977895143423,5000.000000000007,-4.789748988053812
53,976.0,1073.0,1879.0,7048.0,1017.6404631908036,1891.3936264913946,7090.965910317798,1839.0,1890.6596144846767,1945.0,3.104640224953672,2.991721046286128,3.186977895143423,3630.928356738736,-5.183029590256449
54,907.0,1009.0,1772.0,7219.0,964.6659413433151,1776.506088705647,7258.8279699510385,1727.0,1776.0,1827.0,3.1029934827520522,2.991721046286128,3.186977895143423,2554.7845762119473,-4.7452441945189925
55,815.0,957.0,1652.0,7391.0,909.568602389111,1647.7654698432793,7442.6659277676135,1601.0,1648.0,1696.0,3.103596569566658,2.991721046286128,3.186977895143423,2724.69455491057,-4.481169101116489
56,784.0,913.0,1524.0,7563.0,867.1591999999994,1540.7141999999988,7592.126599999994,1494.0,1541.0,1585.0,3.102927901445634,2.991721046286128,3.186977895143423,5000.000000000007,-4.56190300137678
57,669.0,872.0,1411.0,7717.0,817.15941519353,1407.075547104796,7775.765037701668,1363.0,1408.0,1451.0,3.105493631530722,2.991721046286128,3.186977895143423,3118.008770050402,-5.442818995702343
58,616.0,832.0,1309.0,7859.0,774.7945999999994,1286.228799999999,7938.976599999994,1244.0,1286.0,1327.0,3.1075825399869568,2.991721046286128,3.186977895143423,5000.000000000007,-5.0269234699838705
59,638.0,803.0,1218.0,7979.0,751.8974360540333,1210.1197577365667,8037.9828062093975,1171.0,1210.0,1250.7109407054381,3.104553262936319,2.991721046286128,3.186977895143423,3068.514702815061,-5.456736597718542
60,559.0,767.0,1129.0,8104.0,723.9453145471916,1118.3471692196108,8157.7075162331985,1081.0,1118.0,1156.0,3.1042670536858963,2.991721046286128,3.186977895143423,3023.51996152412,-4.2162125682465526
61,494.0,738.0,1024.0,8238.0,695.8517130287273,1022.6874159837024,8281.460870987568,987.0,1023.0,1058.0,3.104201778395441,2.991721046286128,3.186977895143423,3322.0100979719455,-4.528718873892627
62,502.0,714.0,953.0,8333.0,677.9921999999995,957.4751999999993,8364.532599999995,923.0,958.0,991.0,3.104484185704128,2.991721046286128,3.186977895143423,5000.000000000007,-4.888362911812546
