t,x_true,y_obs
0,0.48793783,-0.55204627
1,0.83876654,1.77933126
2,-0.17868938,-1.48086889
3,-0.10583471,-0.4220773
4,-0.10894355,-0.96198748
5,0.33620261,1.11399455
6,0.35240783,1.47964904
7,0.56854211,-0.29075035
8,0.7244904,-0.2343922
9,1.12749103,1.07756512
10,0.97868529,0.29775575
11,1.5410217,1.38649222
12,1.2498067,0.89767315
13,1.45347096,1.81891502
14,1.58716372,2.01798472
15,2.57862933,2.17221432
16,2.1935765,1.37980377
17,2.39188739,3.52085968
18,2.21531929,1.37516281
19,1.69231272,2.3429055
20,1.97932417,2.52247843
21,1.5476031,1.77976443
22,1.52856585,1.74725445
23,1.88785195,2.1114475
24,2.13291613,2.2004952
25,2.17083003,2.80211825
26,1.33371062,1.0140394
27,1.03183876,0.39296091
28,0.84267569,2.33761701
29,0.36762635,1.33590471
30,-0.49218985,-0.82707488
31,-0.38620383,0.2000185
32,-0.01128035,0.78206689
33,-0.18507886,-0.64743066
34,0.25316302,0.06185869
35,-0.39733829,-1.53062551
36,-0.83719752,-0.34003678
37,-0.72412478,-0.03363942
38,-0.90154486,-0.74300517
39,-0.54367242,-0.85301896
40,-0.28810118,-0.95002712
41,-0.45522305,-0.83696094
42,-1.03038172,-0.54340924
43,-1.2135638,-1.20106968
44,-0.91251228,-0.46598111
45,-0.53419411,-0.6326796
46,-0.71913356,-0.79885177
47,-1.5268441,-2.97395657
48,-2.1118517,-3.10909853
49,-1.806372,-2.71185106
50,-1.90513468,-0.60590638
51,-1.98800993,-1.25049436
52,-2.35541828,-2.56085583
53,-2.71265839,-3.05169147
54,-2.1568714,-3.88419182
55,-1.83181601,-1.59408041
56,-2.03730019,-3.48335804
57,-1.89937042,-2.42886313
58,-1.6880638,-1.66621165
59,-0.80277116,-1.04212679
60,-1.27438135,-1.09510571
61,-1.10066394,0.25852364
62,-0.62807512,-0.27120406
63,0.13498008,-1.05378297
64,-0.19164469,-1.11822063
65,-0.37696736,-1.7536535
66,-0.04054351,-0.26276621
67,-0.77391949,-1.78949857
68,-0.57846659,0.25965998
69,0.44882219,3.36268465
70,0.63358579,-0.35595233
71,-0.46411664,-0.19640517
72,-0.84738135,-1.26273861
73,-1.11106068,-1.25185157
74,-0.52251753,-0.36546897
75,-0.57570908,-1.61136283
76,-1.38426509,-1.870573
77,-1.34194312,0.4259868
78,-1.2097087,-0.22696919
79,-1.39887106,-2.58381483
80,-1.81148589,-2.53671196
81,-0.65667673,-1.47806341
82,-0.20459829,-1.10752547
83,0.27141813,0.6563691
84,0.17952827,0.13876575
85,-0.15684199,0.28923021
86,-0.37649163,-1.60209739
87,-0.99663583,-0.82404792
88,-0.15725841,0.0027332
89,-0.20871466,0.07711148
90,0.45472195,0.67410445
91,0.22652223,1.33281094
92,0.42957434,1.96533033
93,0.49971284,-0.72475619
94,-0.2093524,1.44157553
95,0.66294808,0.48342887
96,0.43820702,1.89965131
97,-0.13722617,-1.03195319
98,0.19129853,-0.20330659
99,0.17917267,0.01572977
100,0.33900131,1.74648317
101,0.3673437,1.01128249
102,-0.67610954,-0.72482794
103,-1.06391919,-2.28273225
104,-1.44979942,-1.78392286
105,-0.91935818,-2.24575089
106,-0.85807452,-1.34224395
107,-0.97900734,0.02375048
108,-0.66099926,0.67639885
109,-0.70520213,-1.40114474
110,-0.78187143,-0.53937464
111,-0.65449118,-1.73887926
112,-0.57652173,-0.3482934
113,0.71104137,2.58788598
114,0.24886763,-0.03851573
115,-0.49529675,-1.08600377
116,-0.31272941,0.89312421
117,-0.66163486,-1.3157813
118,-1.70219763,-1.86486356
119,-2.14829496,-2.67773439
120,-2.4793106,-2.57357315
121,-3.23420927,-4.70125451
122,-2.00787525,-3.29529783
123,-2.45587427,-0.61896074
124,-0.88054698,-2.0521136
125,-1.0206441,-0.67908855
126,-0.10526308,-1.09212016
127,-0.22263885,0.55469873
128,0.00587613,-0.37027994
129,-0.06132916,-1.43622496
130,-0.17734957,-0.44373706
131,-0.05239715,-0.60772437
132,0.18599197,1.19870779
133,0.25440704,0.60616345
134,0.26826436,0.26834875
135,-0.10592788,0.21056639
136,-0.14927478,1.94389353
137,0.64486641,1.03071296
