t,h_true,y_obs
0,-0.81198421,-0.69295745
1,-0.70505701,0.66113097
2,-1.00656058,-0.78722523
3,-0.9871877,-0.19304354
4,-0.99009224,-0.51996678
5,-0.85847978,0.50634546
6,-0.85282078,0.73591758
7,-0.78710975,-0.57972535
8,-0.73818384,-0.66293485
9,-0.61427078,-0.03672305
10,-0.65357201,-0.49111231
11,-0.48058365,-0.12152173
12,-0.56041532,-0.26608155
13,-0.49375648,0.28549799
14,-0.44703389,0.34452813
15,-0.14237574,-0.37848899
16,-0.24494087,-0.71997082
17,-0.17519573,1.03428449
18,-0.21703198,-0.75375861
19,-0.3641932,0.54228263
20,-0.27177928,0.47414052
21,-0.39345236,0.19070091
22,-0.39414592,0.17957193
23,-0.28160722,0.19422848
24,-0.20132197,0.06110767
25,-0.1819144,0.576402
26,-0.42503034,-0.25846954
27,-0.51283533,-0.49437563
28,-0.56872161,1.124936
29,-0.71153463,0.67841031
30,-0.97261906,-0.20591794
31,-0.94902752,0.36474022
32,-0.84387271,0.5202579
33,-0.90086529,-0.294681
34,-0.77514295,-0.12983884
35,-0.97324161,-0.69663174
36,-1.1119622,0.28512632
37,-1.08723948,0.40092526
38,-1.14871019,0.08926861
39,-1.05041033,-0.18295806
40,-0.98038173,-0.40543591
41,-1.03542836,-0.22747038
42,-1.21374145,0.26542621
43,-1.27773956,0.0065955
44,-1.19729537,0.24539313
45,-1.09156875,-0.05706122
46,-1.15231643,-0.0448059
47,-1.4008471,-0.71831048
48,-1.58722663,-0.45096286
49,-1.5096437,-0.42566059
50,-1.55107877,0.59823662
51,-1.587986,0.33338374
52,-1.71038908,-0.08735215
53,-1.83158071,-0.1356811
54,-1.68058707,-0.74548355
55,-1.59500591,0.10708856
56,-1.66627823,-0.62857622
57,-1.63547045,-0.23373411
58,-1.58150491,0.00991002
59,-1.32379293,-0.12347688
60,-1.46760376,0.0860667
61,-1.42057615,0.66804421
62,-1.28269218,0.18792228
63,-1.05471598,-0.70156293
64,-1.14903723,-0.52163984
65,-1.20303758,-0.75439474
66,-1.10167381,-0.12810409
67,-1.31924454,-0.52510171
68,-1.26264013,0.44579048
69,-0.95525129,1.80733587
70,-0.89443234,-0.63271629
71,-1.21740631,0.14565002
72,-1.33282528,-0.21330571
73,-1.41465505,-0.06940426
74,-1.24231836,0.08438553
75,-1.25884403,-0.55189959
76,-1.50228116,-0.22945373
77,-1.4952801,0.8370841
78,-1.46088052,0.47338255
79,-1.52194845,-0.55361881
80,-1.65105751,-0.31765144
81,-1.31225532,-0.42618193
82,-1.17711428,-0.50123987
83,-1.0320649,0.22977108
84,-1.05459864,-0.02405791
85,-1.15117883,0.2508591
86,-1.21489099,-0.66763726
87,-1.4001349,0.08569884
88,-1.15126716,0.08997104
89,-1.1645249,0.15967193
90,-0.96368889,0.1355001
91,-1.02641731,0.66219332
92,-0.96131132,0.94967743
93,-0.93498682,-0.76721661
94,-1.14216109,0.93263345
95,-0.8793464,-0.1156547
96,-0.94044411,0.9132032
97,-1.10828764,-0.51407792
98,-1.00853999,-0.2383203
99,-1.00905207,-0.09868546
100,-0.95814432,0.87173485
101,-0.94581226,0.40129529
102,-1.25496371,-0.02601244
103,-1.37379933,-0.61322572
104,-1.49430821,-0.15827854
105,-1.34209358,-0.67801642
106,-1.32723605,-0.24933987
107,-1.36656993,0.50634808
108,-1.27485552,0.70701617
109,-1.28978571,-0.36517415
110,-1.31467096,0.12566919
111,-1.27874482,-0.57214858
112,-1.25680901,0.12174663
113,-0.87148364,1.21391436
