method,param,true,posterior_mean,posterior_std,ci95_lower,ci95_upper,bias,abs_bias,sq_error,within_ci,ess,time_seconds,log_evidence
SMC,mu,-1.0,-1.0057328648857162,0.17893855297809655,-1.3251251037797325,-0.6120661529169795,-0.005732864885716227,0.005732864885716227,3.286573979787813e-05,True,299.97716015501436,39.2979420620004,-187.7855720228487
PMMH,mu,-1.0,-1.0136141785914958,0.21495005727360697,-1.5751618696440624,-0.7002379438651194,-0.013614178591495829,0.013614178591495829,0.00018534585872114336,True,30.633274328016505,11.250881384000422,
PGAS,mu,-1.0,-0.9675062662441982,0.10750897939344362,-1.1617486316320238,-0.7950132619556782,0.03249373375580178,0.03249373375580178,0.001055842733392932,True,5.954524801774327,153.79535862099965,
SMC,phi,0.97,0.9548417835707005,0.04113488795621481,0.8369360048796713,0.9956784000192963,-0.015158216429299487,0.015158216429299487,0.00022977152531748488,True,299.97716015501436,39.2979420620004,-187.7855720228487
PMMH,phi,0.97,0.9653466322716612,0.037599791864835024,0.866737614700708,0.9978395434744333,-0.0046533677283387975,0.0046533677283387975,2.165383121514498e-05,True,26.80059033522395,11.250881384000422,
PGAS,phi,0.97,0.9196402764153508,0.04560887229553876,0.817511512045601,0.9913568764879798,-0.05035972358464913,0.05035972358464913,0.0025361017595222656,True,16.647375360034033,153.79535862099965,
SMC,sigma_h,0.15,0.04382238418350615,0.036573973946230756,0.005410621228757836,0.13779951492877177,-0.10617761581649385,0.10617761581649385,0.011273686100474965,False,299.97716015501436,39.2979420620004,-187.7855720228487
PMMH,sigma_h,0.15,0.04716374527718365,0.028246556812946442,0.006772537873243126,0.10710168365747207,-0.10283625472281635,0.10283625472281635,0.010575295285415969,False,66.04289458260088,11.250881384000422,
PGAS,sigma_h,0.15,0.03218122858407291,0.01492039690065144,0.016126060333367425,0.06417302713688153,-0.11781877141592709,0.11781877141592709,0.013881262897958477,False,4.005081953887987,153.79535862099965,
SMC,all,,,,,,-0.04235623237716985,0.04235623237716985,0.0038454411218634427,,299.97716015501436,39.2979420620004,-187.7855720228487
PMMH,all,,,,,,-0.04036793368088366,0.04036793368088366,0.0035940983251174195,,26.80059033522395,11.250881384000422,
PGAS,all,,,,,,-0.045228253748258146,0.06689074291879267,0.005824402463624558,,4.005081953887987,153.79535862099965,
