horizon,date,h_q05,h_q50,h_q95,vol_q05,vol_q50,vol_q95
1,2023-08-03,-9.515604435086399,-8.636500814844975,-7.792343066979918,0.00858445601975009,0.013323173330687645,0.020319555933810733
2,2023-08-04,-9.546936335219772,-8.657037103043006,-7.794867893769536,0.008451019836473677,0.013187069032981048,0.02029392182113438
3,2023-08-07,-9.557330035370997,-8.673891554736901,-7.767292457115894,0.008407214963184998,0.013076407316173488,0.02057566467907647
4,2023-08-08,-9.584367723588201,-8.699752773071097,-7.814416827516342,0.008294323981764218,0.012908408176092429,0.020096524826487307
5,2023-08-09,-9.577967019040509,-8.715057664775442,-7.823509927515641,0.008320911216330459,0.012810004865380645,0.02000536761115801
6,2023-08-10,-9.639791921549216,-8.740364509708575,-7.852337315433095,0.008067626454947413,0.012648935193545083,0.019719078662404285
7,2023-08-11,-9.654440106204607,-8.750596733176003,-7.845652539542854,0.008008754262521818,0.012584387137673708,0.019785097698875032
8,2023-08-14,-9.712342167983572,-8.77258552219308,-7.878269866874858,0.007780217987740618,0.012446787010992059,0.01946504724747368
9,2023-08-15,-9.733052051308544,-8.795357529182356,-7.883554187976065,0.007700068834357368,0.012305872269558198,0.019413700948420105
10,2023-08-16,-9.729300871986732,-8.803696071306458,-7.88454205021711,0.007714525593321928,0.012254671937468872,0.019404099428756285
11,2023-08-17,-9.748649600816561,-8.830014110277924,-7.906790166115526,0.007640251177050944,0.012094469053129027,0.019189444211665956
12,2023-08-18,-9.753958706234771,-8.826482424457126,-7.934139160985765,0.00761999736139067,0.012115844715258495,0.01892882183344804
13,2023-08-21,-9.775159651850373,-8.839981192121396,-7.945729243249538,0.0075396498467657875,0.01203434672398437,0.018819445263646917
14,2023-08-22,-9.766893711817401,-8.855467402932483,-7.934376113621364,0.007570873320826121,0.01194152209281477,0.01892657917636541
15,2023-08-23,-9.828255499990988,-8.873879272802526,-7.968646573854567,0.007342120640379943,0.011832093762165135,0.018605030442799847
16,2023-08-24,-9.836606356612434,-8.874198820702485,-7.992611825778019,0.00731152692178609,0.011830203461396384,0.018383424782493767
17,2023-08-25,-9.826361723896898,-8.9054473371692,-7.980721299755428,0.007349075424750429,0.011646801735778083,0.018493043447956485
18,2023-08-28,-9.861499288809165,-8.917204214205928,-7.996285998829431,0.007221088219663803,0.011578537612560705,0.018349683365305843
19,2023-08-29,-9.870770132121955,-8.93422328261218,-8.018685838441371,0.0071877022966989655,0.011480427736548754,0.01814531429748137
20,2023-08-30,-9.898989218552364,-8.933620610026477,-8.01891103324165,0.007086991248131138,0.011483888639345277,0.01814327152765059
21,2023-08-31,-9.893546637761473,-8.95383361186682,-8.012307775183888,0.007106302260897232,0.011368415227132885,0.018203273207538832
22,2023-09-01,-9.937011195371126,-8.964535621333637,-8.048427851455475,0.006953536867755299,0.011307740964674367,0.017877472019812855
23,2023-09-04,-9.92892383652502,-8.968656971183535,-8.052864391919124,0.006981706703512822,0.011284462656925476,0.01783785935411865
24,2023-09-05,-9.954715722741366,-8.980872974867761,-8.064957305259206,0.0068922488484368764,0.011215747879121583,0.01773033073942489
25,2023-09-06,-9.954547468420767,-8.970482656046673,-8.031730427173223,0.006892829021651459,0.011274166495154364,0.018027356999479174
