metric,N,rmse_truth_mean,rmse_truth_std,rmse_mc_mean,rmse_mc_std,logL_mean,logL_std,logL_var,n_reps,model,slope_rmse_mc,slope_logL_var
convergence,50.0,0.45815200507303044,0.010758996579375997,0.08453862248744201,0.005739953674775509,-813.3955974449563,2.757477821832417,7.603683937897651,10.0,,,
convergence,100.0,0.45391582345062975,0.005008089354216523,0.05550284276970863,0.004642039579932125,-813.265955918763,1.2276582207965197,1.507144707089276,10.0,,,
convergence,200.0,0.4568871946350363,0.003013827950548885,0.04102399156140133,0.005050426361260941,-813.7476664850872,0.6434165972173884,0.41398491757480305,10.0,,,
convergence,500.0,0.4536169347429045,0.0024725687914602585,0.026315780356791257,0.001585085030489153,-813.2166614040831,0.379139251174969,0.14374657178151623,10.0,,,
convergence,1000.0,0.4540884667598698,0.0019499826499045862,0.01771214513295015,0.0009969729591250613,-812.9751425019836,0.3218478471426253,0.10358603671034272,10.0,,,
convergence,2000.0,0.4531762023748813,0.0013611683502873237,0.013094221066897102,0.0009548258509581679,-812.8438496307193,0.2420022881592365,0.05856510747430614,10.0,,,
convergence,5000.0,0.4533643940322717,0.0007344432479472335,0.008414710421773799,0.0009093794802080837,-812.8897424437433,0.16094329616785052,0.025902744581372445,10.0,,,
model_logL,2000.0,,,,,-813.0156706586979,0.34944285834320066,,10.0,SV_true,,
model_logL,2000.0,,,,,-1005.4342777819644,0.5581193175841195,,10.0,SV_misspecified,,
model_logL,2000.0,,,,,-885.4733974600509,0.0635276528403457,,10.0,GARCH_like,,
slope,,,,,,,,,,,-0.4970098600193078,-1.1594508276299198
