t,h_true,y_obs
0,-0.81198421,0.77952365
1,-0.67653998,-1.5400349
2,-0.88157071,0.49024358
3,-0.93255997,0.09006667
4,-1.06253976,0.69843581
5,-0.94399478,-0.20690688
6,-0.77658876,-0.1076633
7,-0.91218496,0.47467872
8,-1.0586518,0.73048106
9,-1.06438114,-0.07936564
10,-1.16458913,0.78162356
11,-1.18283088,-0.16256349
12,-1.23016599,0.34439213
13,-1.1684444,0.09741043
14,-1.09876792,0.94638284
15,-1.15676713,-0.13482164
16,-1.27413003,0.49729166
17,-1.09656028,-0.383273
18,-1.21968695,-0.15973942
19,-1.11550742,0.18227086
20,-1.03056906,-0.50649183
21,-0.99482779,-0.00913842
22,-0.96217966,0.39888772
23,-0.92977494,0.2991256
24,-0.92174483,0.13661378
25,-0.82939925,-1.0420513
26,-0.88246796,-0.1592147
27,-0.9818256,0.04967463
28,-0.75812963,-1.02490535
29,-0.62014399,-1.42391933
30,-0.68177242,0.21930898
31,-0.6033859,0.23875315
32,-0.49628224,-0.54514369
33,-0.58074654,0.72868991
34,-0.62201979,-0.73939228
35,-0.80335228,-0.15366475
36,-0.7346776,-0.08673536
37,-0.63906447,-0.51962424
38,-0.62611158,0.33818957
39,-0.68373022,0.39092341
40,-0.7925072,0.01113484
41,-0.85599267,-0.55062529
42,-0.78726702,-0.43849121
43,-0.79177489,0.27602557
44,-0.73104197,0.24490631
45,-0.75388353,-0.21768427
46,-0.77322476,-0.96564476
47,-0.99709488,-0.25628866
48,-1.14676906,0.47616309
49,-1.27818785,0.06609857
50,-1.07495797,-0.55976836
51,-0.96208189,-0.7277323
52,-0.99403507,-0.43802134
53,-1.04506898,0.53208017
54,-1.30281497,0.64636484
55,-1.25807018,-0.33767824
56,-1.46723676,0.37716985
57,-1.53264356,0.2166753
58,-1.51338643,0.64576019
59,-1.53388818,-0.35607722
60,-1.49098019,0.04787006
61,-1.27237265,0.02309567
62,-1.21067081,0.59437843
63,-1.38266515,0.02020686
64,-1.51017158,0.05907657
65,-1.70136936,0.52894834
66,-1.71366168,-0.49354863
67,-1.84458869,0.30985436
68,-1.69353205,0.5617943
69,-1.23564672,-0.59197277
70,-1.37700803,-0.67896382
71,-1.32554107,-0.43186299
72,-1.37807843,-0.16186997
73,-1.38785471,0.49639328
74,-1.35266178,-0.10978376
75,-1.49742999,-0.44104398
76,-1.55545328,0.09031712
77,-1.27360019,-0.40792157
78,-1.11798126,-0.52820006
79,-1.29218339,-0.12753405
80,-1.3922018,1.09970792
81,-1.50364374,0.53603069
82,-1.62397351,0.55862259
83,-1.54751166,-0.15135795
84,-1.53720069,-0.25347522
85,-1.45417384,-0.2982359
86,-1.62438949,-0.21924415
87,-1.57976961,0.58155072
88,-1.53837778,-0.08467948
89,-1.47935253,0.47159731
90,-1.43206458,-0.22751558
91,-1.25315933,-0.09717317
92,-1.01520115,-0.3666961
93,-1.19841547,-0.31451295
94,-0.94482382,0.4160433
95,-0.97340699,-0.14880065
96,-0.75498813,-1.15824977
97,-0.89654754,0.64160463
98,-0.95884189,0.11941196
99,-0.98459306,0.22863922
100,-0.77393299,-0.42464452
101,-0.68412418,-1.48984191
102,-0.70090822,-0.49721322
103,-0.89270293,-0.09669504
104,-0.94604036,0.59835268
105,-1.14661806,0.3887679
106,-1.21484493,-0.02270995
107,-1.05798591,-0.02083244
108,-0.85563661,-0.5231769
109,-0.96435891,0.09514932
110,-0.92905362,0.01990159
111,-1.09384022,0.35913665
112,-1.05679077,1.21805926
113,-0.77356035,-1.13932572
