method,parameter,true_value,mean,std,ci_lower,ci_upper,within_2sd
IBIS,mu,-1.0,-1.1218692992247075,0.20199164436352754,-1.5769410453040926,-0.7114910217315247,True
IBIS,phi,0.97,0.9408927203156492,0.04462160761600088,0.8069023564251337,0.9929690836426666,True
IBIS,sigma_h,0.15,0.13524517151719193,0.06162138327345222,0.04767938164386032,0.28104585984225877,True
IBIS,log_evidence,,-270.5905187272428,,,,True
IBIS,elapsed_seconds,,73.43158483505249,,,,True
IBIS,mean_ess,,519.2223913215984,,,,True
IBIS,ess_per_second,,7.0708318836903015,,,,True
WasteFreeSMC,mu,-1.0,-0.7655874714961145,0.8133526999968976,-2.4588181731595062,0.8370380210913932,True
WasteFreeSMC,phi,0.97,0.9275643575715041,0.05396420511627106,0.8005394542102722,0.9975587676693437,True
WasteFreeSMC,sigma_h,0.15,0.3554265248143653,0.27587942168486945,0.018718445131998024,0.955002870729575,True
WasteFreeSMC,log_evidence,,-1.5168438437356562,,,,True
WasteFreeSMC,elapsed_seconds,,0.8346788883209229,,,,True
WasteFreeSMC,mean_ess,,879.9638069778142,,,,True
WasteFreeSMC,ess_per_second,,1054.2542998158112,,,,True
SMCTempering,mu,-1.0,-1.122095569143659,0.1843667959781898,-1.48133502898474,-0.7087145013978543,True
SMCTempering,phi,0.97,0.9423038224579313,0.041835975288827446,0.8326092871394744,0.9913077991456715,True
SMCTempering,sigma_h,0.15,0.13282161287277705,0.06346022765382427,0.04392445016571713,0.2970807580610763,True
SMCTempering,log_evidence,,-271.0099140161748,,,,True
SMCTempering,elapsed_seconds,,147.3437352180481,,,,True
SMCTempering,mean_ess,,414.35365631141565,,,,True
SMCTempering,ess_per_second,,2.812156592190569,,,,True
