t,h_true,filtered_mean,filtered_var,ffbsm_smoothed_mean,ffbsm_smoothed_var,ffbsi_smoothed_mean,ffbsi_smoothed_var
0,-0.811984,-0.947086,0.297724,-1.023269,0.276735,-1.014531,0.281520
1,-0.705057,-0.964192,0.303857,-1.028738,0.279768,-1.027687,0.273543
2,-1.006561,-0.886375,0.287985,-1.033000,0.282226,-1.036081,0.274477
3,-0.987188,-1.194803,0.378654,-1.044307,0.288964,-1.050439,0.281864
4,-0.990092,-1.047438,0.326774,-1.033770,0.283508,-1.052158,0.284090
5,-0.858480,-1.057763,0.323285,-1.031526,0.283141,-1.046040,0.282050
6,-0.852821,-0.924880,0.290866,-1.028069,0.283297,-1.043336,0.285188
7,-0.787110,-1.016055,0.309875,-1.035533,0.288822,-1.049872,0.302416
8,-0.738184,-0.959528,0.310820,-1.035968,0.291007,-1.057739,0.300786
9,-0.614271,-1.196109,0.371722,-1.040595,0.294101,-1.056042,0.309323
10,-0.653572,-1.048369,0.323298,-1.029610,0.289016,-1.043020,0.309385
11,-0.480584,-1.176688,0.357677,-1.027276,0.289220,-1.054669,0.299882
12,-0.560415,-1.136121,0.348152,-1.016458,0.285214,-1.044550,0.287902
13,-0.493756,-1.125335,0.350483,-1.007455,0.282066,-1.031576,0.272546
14,-0.447034,-1.105706,0.343574,-0.999226,0.277944,-1.023836,0.278492
15,-0.142376,-1.089409,0.339206,-0.991882,0.274481,-1.006977,0.259477
16,-0.244941,-0.909614,0.291322,-0.985364,0.271058,-0.998644,0.255811
17,-0.175196,-0.723582,0.261352,-0.991745,0.274970,-1.001807,0.272611
18,-0.217032,-0.890824,0.290297,-1.017903,0.290168,-1.025810,0.286467
19,-0.364193,-1.017265,0.314111,-1.027907,0.297401,-1.031022,0.292735
20,-0.271779,-1.054317,0.321475,-1.027773,0.300366,-1.035602,0.288675
21,-0.393452,-1.168916,0.357570,-1.024808,0.302375,-1.027941,0.285824
22,-0.394146,-1.169913,0.358147,-1.014701,0.299589,-1.008119,0.291327
23,-0.281607,-1.171336,0.361381,-1.004166,0.296575,-1.001615,0.283996
24,-0.201322,-1.200444,0.367880,-0.993004,0.293605,-0.999042,0.274756
25,-0.181914,-1.005657,0.312539,-0.980247,0.289568,-0.983726,0.259850
26,-0.425030,-1.155558,0.355295,-0.979019,0.291399,-0.986304,0.250114
27,-0.512835,-1.051753,0.320934,-0.968216,0.287855,-0.984249,0.244600
28,-0.568722,-0.682969,0.240089,-0.963192,0.288211,-0.973331,0.252045
29,-0.711535,-0.948366,0.296526,-0.993563,0.308600,-1.011528,0.281993
30,-0.972619,-1.173849,0.357718,-0.997374,0.315226,-1.015965,0.296468
31,-0.949028,-1.112529,0.342300,-0.986070,0.313222,-0.998348,0.295436
32,-0.843873,-1.037413,0.315468,-0.977951,0.312885,-0.991715,0.304537
33,-0.900865,-1.135328,0.352541,-0.974159,0.316180,-0.992083,0.301996
34,-0.775143,-1.186877,0.373722,-0.964195,0.315717,-0.973159,0.305416
35,-0.973242,-0.934575,0.291626,-0.951384,0.313452,-0.955444,0.305352
36,-1.111962,-1.149295,0.351760,-0.954387,0.321054,-0.963257,0.313761
37,-1.087239,-1.096638,0.339412,-0.942922,0.319559,-0.949346,0.321372
38,-1.148710,-1.194249,0.367314,-0.934175,0.319661,-0.946294,0.321353
39,-1.050410,-1.182340,0.361659,-0.919699,0.317019,-0.932378,0.327080
40,-0.980382,-1.097512,0.333172,-0.905356,0.314355,-0.914090,0.321825
41,-1.035428,-1.167193,0.354312,-0.894957,0.314404,-0.899638,0.328434
42,-1.213741,-1.157781,0.353049,-0.880589,0.311691,-0.885445,0.329465
43,-1.277740,-1.210208,0.377764,-0.866206,0.309275,-0.869968,0.328882
44,-1.197295,-1.165853,0.367487,-0.849372,0.305040,-0.862097,0.325112
45,-1.091569,-1.211586,0.380032,-0.834103,0.301703,-0.846093,0.307600
46,-1.152316,-1.214795,0.383092,-0.815940,0.298006,-0.821066,0.310568
47,-1.400847,-0.927945,0.292899,-0.797126,0.294123,-0.807916,0.294920
48,-1.587227,-1.083699,0.336586,-0.792904,0.298686,-0.799223,0.290144
49,-1.509644,-1.098956,0.338420,-0.778948,0.298884,-0.779675,0.289357
50,-1.551079,-1.005374,0.310491,-0.763283,0.299148,-0.760160,0.282575
51,-1.587986,-1.148049,0.357440,-0.752296,0.301206,-0.747270,0.291780
52,-1.710389,-1.219583,0.379817,-0.734092,0.298576,-0.711145,0.290320
53,-1.831581,-1.212733,0.379345,-0.712118,0.294227,-0.682907,0.288197
54,-1.680587,-0.913689,0.289783,-0.689751,0.290084,-0.668777,0.292076
55,-1.595006,-1.212435,0.381319,-0.681074,0.294150,-0.659158,0.299021
56,-1.666278,-0.980867,0.313773,-0.658130,0.289282,-0.647199,0.281270
57,-1.635470,-1.177799,0.372246,-0.644700,0.289656,-0.631492,0.287782
58,-1.581505,-1.227444,0.399021,-0.621951,0.285651,-0.615809,0.274236
59,-1.323793,-1.209969,0.387671,-0.597233,0.280853,-0.584711,0.271067
60,-1.467604,-1.214920,0.390161,-0.572372,0.274873,-0.572512,0.267860
61,-1.420576,-0.952913,0.320843,-0.547047,0.268885,-0.541054,0.277400
62,-1.282692,-1.194379,0.386520,-0.531799,0.266645,-0.516236,0.280470
63,-1.054716,-0.932984,0.318448,-0.506896,0.257852,-0.495068,0.269955
64,-1.149037,-1.043080,0.341824,-0.491654,0.251480,-0.473693,0.271901
65,-1.203038,-0.902708,0.302961,-0.470448,0.243664,-0.459086,0.262406
66,-1.101674,-1.205504,0.384165,-0.454274,0.237791,-0.447520,0.254910
67,-1.319245,-1.035299,0.339764,-0.426650,0.225239,-0.417781,0.243564
68,-1.262640,-1.082182,0.352734,-0.403945,0.214356,-0.387789,0.224476
69,-0.955251,-0.252152,0.212101,-0.379410,0.202144,-0.360144,0.211388
70,-0.894432,-0.329565,0.215534,-0.411927,0.211314,-0.398424,0.226465
71,-1.217406,-0.425703,0.240009,-0.438223,0.220599,-0.426280,0.229008
72,-1.332825,-0.442032,0.243822,-0.455919,0.225550,-0.454855,0.236405
73,-1.414655,-0.477100,0.251634,-0.473493,0.230880,-0.465184,0.239918
74,-1.242318,-0.502563,0.260313,-0.488834,0.235674,-0.487398,0.249225
75,-1.258844,-0.456088,0.254221,-0.502758,0.239448,-0.511264,0.257834
76,-1.502281,-0.531847,0.275868,-0.521716,0.244971,-0.521765,0.255186
77,-1.495280,-0.399121,0.247175,-0.534981,0.247268,-0.540814,0.261886
78,-1.460881,-0.528012,0.279048,-0.561738,0.256332,-0.567024,0.260717
79,-1.521948,-0.520365,0.278651,-0.577728,0.259935,-0.577235,0.265437
80,-1.651058,-0.592605,0.297659,-0.595092,0.264434,-0.597595,0.268612
81,-1.312255,-0.583626,0.295228,-0.607278,0.266146,-0.609492,0.273418
82,-1.177114,-0.577143,0.290633,-0.620939,0.268218,-0.618389,0.268763
83,-1.032065,-0.651207,0.305884,-0.635771,0.271189,-0.632312,0.264118
84,-1.054599,-0.683145,0.314854,-0.645646,0.272393,-0.639225,0.259754
85,-1.151179,-0.670432,0.313064,-0.653445,0.272330,-0.645114,0.268140
86,-1.214891,-0.561901,0.280668,-0.662432,0.272711,-0.656714,0.266323
87,-1.400135,-0.716432,0.318533,-0.680836,0.278320,-0.672622,0.281705
88,-1.151267,-0.723637,0.323057,-0.687708,0.278554,-0.678100,0.283906
89,-1.164525,-0.729336,0.326110,-0.694410,0.278466,-0.685734,0.289508
90,-0.963689,-0.741668,0.331255,-0.701014,0.277937,-0.699652,0.295047
91,-1.026417,-0.608468,0.280936,-0.707414,0.277257,-0.706509,0.300951
92,-0.961311,-0.496569,0.252127,-0.724432,0.283744,-0.728073,0.305490
93,-0.934987,-0.585897,0.279947,-0.754483,0.296957,-0.757556,0.315350
94,-1.142161,-0.523341,0.262711,-0.776115,0.305803,-0.776625,0.309217
95,-0.879346,-0.812589,0.334896,-0.806367,0.321059,-0.809097,0.329035
96,-0.940444,-0.549335,0.260065,-0.811669,0.322320,-0.824323,0.318414
97,-1.108288,-0.731911,0.307183,-0.841344,0.339046,-0.861059,0.336637
98,-1.008540,-0.825984,0.340560,-0.854445,0.347030,-0.861227,0.337726
99,-1.009052,-0.860660,0.349983,-0.860660,0.349983,-0.859793,0.338093
