t,h_true,filtered_mean,filtered_var,ffbsm_smoothed_mean,ffbsm_smoothed_var,two_filter_smoothed_mean,two_filter_smoothed_var,fixed_lag_L5_smoothed_mean,fixed_lag_L5_smoothed_var,fixed_lag_L10_smoothed_mean,fixed_lag_L10_smoothed_var,fixed_lag_L20_smoothed_mean,fixed_lag_L20_smoothed_var,fixed_lag_L50_smoothed_mean,fixed_lag_L50_smoothed_var
0,-0.811984,-0.947086,0.297724,-1.023269,0.276735,-1.015383,0.071214,-1.055364,0.343927,-1.061271,0.355030,-1.060207,0.369545,-1.028848,0.380161
1,-0.705057,-0.964192,0.303857,-1.028738,0.279768,-1.042367,0.072203,-0.937755,0.318260,-1.160445,0.381941,-1.119410,0.380106,-1.054372,0.380982
2,-1.006561,-0.886375,0.287985,-1.033000,0.282226,-1.063909,0.073512,-1.014164,0.337168,-1.130172,0.374613,-1.117892,0.380993,-1.069423,0.381330
3,-0.987188,-1.194803,0.378654,-1.044307,0.288964,-1.112956,0.077252,-0.974936,0.332901,-1.127714,0.378171,-1.119287,0.383806,-1.067519,0.387834
4,-0.990092,-1.047438,0.326774,-1.033770,0.283508,-1.081141,0.075187,-1.191353,0.382699,-1.110070,0.367751,-1.131894,0.377936,-1.004856,0.379536
5,-0.858480,-1.057763,0.323285,-1.031526,0.283141,-1.076961,0.073641,-1.063893,0.338292,-1.100729,0.355004,-1.026755,0.355026,-1.068330,0.369828
6,-0.852821,-0.924880,0.290866,-1.028069,0.283297,-1.066408,0.070479,-1.179842,0.366466,-0.966949,0.330789,-1.108292,0.365045,-1.021371,0.371275
7,-0.787110,-1.016055,0.309875,-1.035533,0.288822,-1.095537,0.073458,-1.147522,0.355315,-0.825947,0.310250,-1.048539,0.354120,-1.061890,0.367830
8,-0.738184,-0.959528,0.310820,-1.035968,0.291007,-1.107129,0.077385,-1.134567,0.364465,-0.939240,0.336905,-0.829463,0.351693,-1.062401,0.378809
9,-0.614271,-1.196109,0.371722,-1.040595,0.294101,-1.139240,0.081611,-1.102678,0.353976,-1.018699,0.343247,-0.970030,0.351785,-1.049821,0.371331
10,-0.653572,-1.048369,0.323298,-1.029610,0.289016,-1.113857,0.080502,-1.090348,0.346026,-1.044644,0.344252,-1.095266,0.363747,-1.051087,0.368166
11,-0.480584,-1.176688,0.357677,-1.027276,0.289220,-1.117357,0.085596,-0.930239,0.314468,-1.122168,0.359259,-1.055562,0.357727,-0.987818,0.366993
12,-0.560415,-1.136121,0.348152,-1.016458,0.285214,-1.080981,0.087228,-0.762271,0.292198,-1.118825,0.361522,-1.009217,0.353609,-1.034475,0.367247
13,-0.493756,-1.125335,0.350483,-1.007455,0.282066,-1.048554,0.087991,-0.902114,0.314477,-1.111617,0.362486,-1.060495,0.364384,-0.974374,0.368897
14,-0.447034,-1.105706,0.343574,-0.999226,0.277944,-1.014673,0.086735,-1.009259,0.330158,-1.132981,0.364604,-1.092875,0.368394,-1.002777,0.368328
15,-0.142376,-1.089409,0.339206,-0.991882,0.274481,-0.984198,0.082951,-1.035970,0.337101,-0.989105,0.337631,-0.951210,0.346116,-0.971565,0.370403
16,-0.244941,-0.909614,0.291322,-0.985364,0.271058,-0.948723,0.076748,-1.131616,0.356405,-1.096895,0.355904,-1.064145,0.360598,-1.034438,0.364944
17,-0.175196,-0.723582,0.261352,-0.991745,0.274970,-0.957158,0.074348,-1.134471,0.356418,-1.022230,0.340037,-1.039541,0.355648,-0.999720,0.365324
18,-0.217032,-0.890824,0.290297,-1.017903,0.290168,-1.041843,0.078965,-1.133223,0.356045,-0.750284,0.304658,-1.095114,0.367503,-1.009773,0.366170
19,-0.364193,-1.017265,0.314111,-1.027907,0.297401,-1.089515,0.078102,-1.160132,0.362128,-0.952136,0.328395,-1.092671,0.365700,-0.796761,0.361593
20,-0.271779,-1.054317,0.321475,-1.027773,0.300366,-1.103996,0.080184,-0.999246,0.323229,-1.122076,0.358981,-1.049366,0.357238,-0.856089,0.364298
21,-0.393452,-1.168916,0.357570,-1.024808,0.302375,-1.116700,0.083702,-1.128667,0.357691,-1.081042,0.354767,-1.090950,0.368875,-0.865677,0.369847
22,-0.394146,-1.169913,0.358147,-1.014701,0.299589,-1.107054,0.083470,-1.037300,0.334837,-1.021284,0.340847,-1.081256,0.366930,-0.856125,0.361989
23,-0.281607,-1.171336,0.361381,-1.004166,0.296575,-1.091132,0.081644,-0.723446,0.284812,-1.104406,0.364302,-1.112702,0.375885,-0.852636,0.368822
24,-0.201322,-1.200444,0.367880,-0.993004,0.293605,-1.066682,0.079679,-0.956907,0.314693,-1.146866,0.372831,-1.095491,0.368644,-0.859968,0.363605
25,-0.181914,-1.005657,0.312539,-0.980247,0.289568,-1.030389,0.077041,-1.150201,0.365734,-0.956901,0.327826,-1.114849,0.377073,-0.838288,0.348503
26,-0.425030,-1.155558,0.355295,-0.979019,0.291399,-1.033582,0.078591,-1.099123,0.350662,-1.109416,0.361859,-1.115900,0.373653,-0.840650,0.351315
27,-0.512835,-1.051753,0.320934,-0.968216,0.287855,-0.997138,0.077883,-1.034296,0.328656,-1.075938,0.348483,-0.964741,0.340089,-0.814130,0.334574
28,-0.568722,-0.682969,0.240089,-0.963192,0.288211,-0.973972,0.077259,-1.125068,0.354904,-1.148636,0.369924,-1.045533,0.357101,-0.820581,0.343005
29,-0.711535,-0.948366,0.296526,-0.993563,0.308600,-1.093885,0.085021,-1.167148,0.369195,-1.136235,0.366404,-1.052678,0.360406,-0.808904,0.335866
30,-0.972619,-1.173849,0.357718,-0.997374,0.315226,-1.140474,0.090387,-0.950119,0.311589,-1.075722,0.351776,-1.000927,0.351116,-0.819149,0.339816
31,-0.949028,-1.112529,0.342300,-0.986070,0.313222,-1.124232,0.086401,-1.125609,0.358206,-1.125123,0.364833,-1.073199,0.365632,-0.795006,0.339694
32,-0.843873,-1.037413,0.315468,-0.977951,0.312885,-1.118441,0.084081,-1.086967,0.343422,-1.117051,0.360503,-1.117088,0.369179,-0.795740,0.343876
33,-0.900865,-1.135328,0.352541,-0.974159,0.316180,-1.139933,0.086987,-1.164205,0.372918,-1.146031,0.371431,-1.104672,0.370634,-0.796575,0.344047
34,-0.775143,-1.186877,0.373722,-0.964195,0.315717,-1.139074,0.085882,-1.150397,0.368028,-1.119127,0.366278,-0.948027,0.344872,-0.786010,0.339322
35,-0.973242,-0.934575,0.291626,-0.951384,0.313452,-1.122779,0.084289,-1.081867,0.346046,-1.150384,0.370794,-1.114480,0.371467,-0.769165,0.340017
36,-1.111962,-1.149295,0.351760,-0.954387,0.321054,-1.183061,0.088347,-1.146817,0.361569,-1.156048,0.369510,-0.993059,0.351220,-0.749299,0.342258
37,-1.087239,-1.096638,0.339412,-0.942922,0.319559,-1.179874,0.087702,-1.131601,0.361091,-0.941935,0.331382,-1.098434,0.371545,-0.753890,0.346755
38,-1.148710,-1.194249,0.367314,-0.934175,0.319661,-1.191916,0.088320,-1.174652,0.367631,-1.054320,0.348169,-1.121874,0.373276,-0.749872,0.341246
