section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,0.0,0.77952365,-0.81198421,-1.1527976139456348,-1.25484000240619,-1.0501837163428065,0.5619183035675543,0.5339676613085089,0.5915010276684336,999.1767483288692,,,,,,,
filtered,1.0,-1.5400349,-0.67653998,-1.1243586385182884,-1.221991786738494,-1.0261232098411497,0.569965572409549,0.5428100189060636,0.5986599100734875,546.0318863799149,,,,,,,
filtered,2.0,0.49024358,-0.88157071,-1.1327682356087978,-1.2319439767973541,-1.0318358688753602,0.5675740135351025,0.5401156539368381,0.596952379896983,946.294684258505,,,,,,,
filtered,3.0,0.09006667,-0.93255997,-1.136026078427603,-1.2305142744426236,-1.029660583713561,0.5666502326605188,0.5405018942837039,0.597602003939473,994.4167227997829,,,,,,,
filtered,4.0,0.69843581,-1.06253976,-1.1434638046980705,-1.2388796670196203,-1.0336705904243266,0.564546851517139,0.5382458604578109,0.5964050103055138,902.2915906253197,,,,,,,
filtered,5.0,-0.20690688,-0.94399478,-1.145744835699617,-1.2398480851920322,-1.0446259225773429,0.5639033441169082,0.5379853000095236,0.593147034012061,989.7487790671236,,,,,,,
filtered,6.0,-0.1076633,-0.77658876,-1.1511598698003143,-1.2426142668483524,-1.0490161700116505,0.5623786312224701,0.5372417318051107,0.5918464309045594,994.8118686284972,,,,,,,
filtered,7.0,0.47467872,-0.91218496,-1.1604100027872255,-1.2646026195877837,-1.0602930465758515,0.5597835983841951,0.5313675515080792,0.5885187316610017,950.5828789390713,,,,,,,
filtered,8.0,0.73048106,-1.0586518,-1.1729666959986083,-1.2806519625881665,-1.0688469102177898,0.556280092549659,0.5271205645893041,0.5860070521400242,897.7602726461404,,,,,,,
filtered,9.0,-0.07936564,-1.06438114,-1.1730890122757258,-1.2844287119606999,-1.0662544877536952,0.5562460725349924,0.526126102712358,0.5867671335696885,996.057234066329,,,,,,,
filtered,10.0,0.78162356,-1.16458913,-1.1781679615735512,-1.2773621104985504,-1.074033379065079,0.5548352918143391,0.5279883524625176,0.5844893671868674,886.5099220550801,,,,,,,
filtered,11.0,-0.16256349,-1.18283088,-1.1802315130853915,-1.2756086853414457,-1.0764677401828584,0.5542631214382365,0.5284514494642716,0.5837783708854676,992.5064588628429,,,,,,,
filtered,12.0,0.34439213,-1.23016599,-1.1812508000095165,-1.2731503012207628,-1.072667157270536,0.5539807168310766,0.5291014171759674,0.5848887746471947,970.6001503345917,,,,,,,
filtered,13.0,0.09741043,-1.1684444,-1.1789663826103283,-1.275066032510643,-1.0661302754751194,0.5546138399357743,0.5285948517553034,0.58680357654267,993.0306359384953,,,,,,,
filtered,14.0,0.94638284,-1.09876792,-1.1843857968100135,-1.2787092409835448,-1.077075102234568,0.5531130331677144,0.5276328376045224,0.5836011153868533,829.7730734104045,,,,,,,
filtered,15.0,-0.13482164,-1.15676713,-1.1867008011049807,-1.2904423079725722,-1.079278157098574,0.5524731740346228,0.5245465237233878,0.5829586166788484,993.8354726232627,,,,,,,
filtered,16.0,0.49729166,-1.27413003,-1.1913508985835515,-1.2922686107877628,-1.0815861225216927,0.5511901391151969,0.5240677519557259,0.5822862805204092,944.8268353488796,,,,,,,
filtered,17.0,-0.383273,-1.09656028,-1.1858477870495503,-1.2846317763232242,-1.0849865879208729,0.5527088579828301,0.5260726866932991,0.5812970995029946,968.6479274168037,,,,,,,
filtered,18.0,-0.15973942,-1.21968695,-1.1825759399870541,-1.2831348054472989,-1.0803421787042538,0.5536137874053839,0.5264665918363408,0.5826485588815287,992.6275405113676,,,,,,,
filtered,19.0,0.18227086,-1.11550742,-1.1852297235712164,-1.286893753317985,-1.0813916684716862,0.5528796889572025,0.5254780408680432,0.5823428972354572,987.6526527973726,,,,,,,
filtered,20.0,-0.50649183,-1.03056906,-1.1767096827498262,-1.2865019041835335,-1.08034383502297,0.5552399916160512,0.5255810050120602,0.5826480763558719,942.8137838444841,,,,,,,
filtered,21.0,-0.00913842,-0.99482779,-1.1758579746706679,-1.278384753667785,-1.0788990366019084,0.5554764931634123,0.5277184496309293,0.5830691329334072,996.8434229344607,,,,,,,
filtered,22.0,0.39888772,-0.96217966,-1.1792079277137115,-1.2773109787975814,-1.0839499913327064,0.5545468618517603,0.5280018511063457,0.5815984628893406,961.768935909059,,,,,,,
filtered,23.0,0.2991256,-0.92977494,-1.1838245286889593,-1.2807380681737777,-1.0848246547544222,0.5532682773065204,0.5270978710653667,0.5813441670484035,973.7452436772859,,,,,,,
filtered,24.0,0.13661378,-0.92174483,-1.1880336904660778,-1.2866486248535365,-1.086730859652045,0.55210510388946,0.5255424496276973,0.5807903504630834,992.2608520011183,,,,,,,
filtered,25.0,-1.0420513,-0.82939925,-1.1711853901896108,-1.2668158823573656,-1.0710275179297513,0.556775765733417,0.5307798487438594,0.5853684745764937,773.8399465755147,,,,,,,
