t,state,observation,A,C,Q,R
0,0.6990689247475738,2.062931154561483,0.9,1.0,1.0,1.0
1,-0.4108220739676791,0.48436290800400683,0.9,1.0,1.0,1.0
2,0.380711329235546,-0.33876890404924437,0.9,1.0,1.0,1.0
3,1.2832049127032052,-0.21929854333769172,0.9,1.0,1.0,1.0
4,-0.7961507672209516,-3.760679605062603,0.9,1.0,1.0,1.0
5,-2.0187151973611748,-2.5622107052938095,0.9,1.0,1.0,1.0
6,-1.689003274457772,0.7314117377896303,0.9,1.0,1.0,1.0
7,-1.8363455393555772,-1.4014612678919298,0.9,1.0,1.0,1.0
8,-1.6695121429243083,-2.2290844289737977,0.9,1.0,1.0,1.0
9,-2.3556048562054577,-1.8905246467051513,0.9,1.0,1.0,1.0
10,-1.2406463957220835,-2.8016047487165263,0.9,1.0,1.0,1.0
11,-0.3387898207209269,-0.6361131834185623,0.9,1.0,1.0,1.0
12,-0.23888014108761818,-0.13940266807187968,0.9,1.0,1.0,1.0
13,0.9122490799891765,0.826148428168128,0.9,1.0,1.0,1.0
14,1.2885335142423044,2.079339635932385,0.9,1.0,1.0,1.0
15,0.3003876999348357,0.645032926170888,0.9,1.0,1.0,1.0
16,0.639099714023851,1.3074257321318479,0.9,1.0,1.0,1.0
17,-0.38369285820753296,-1.0720651404382924,0.9,1.0,1.0,1.0
18,0.5331267289204928,1.430942137331041,0.9,1.0,1.0,1.0
19,0.4298881450421907,2.058825092666182,0.9,1.0,1.0,1.0
20,0.2020369669927111,-0.7681125526587015,0.9,1.0,1.0,1.0
21,-0.4990962741105014,-1.386791929825061,0.9,1.0,1.0,1.0
22,0.7733546919745791,2.1091390282948117,0.9,1.0,1.0,1.0
23,0.541489740708319,0.35014575401325876,0.9,1.0,1.0,1.0
24,0.05901294447437988,1.4628343365409369,0.9,1.0,1.0,1.0
25,-0.2990219004612877,-0.7415576123534715,0.9,1.0,1.0,1.0
26,0.2631894751381898,1.718235051408901,0.9,1.0,1.0,1.0
27,0.6023145919884492,0.7338004087939014,0.9,1.0,1.0,1.0
28,0.9548157443855927,1.213044567708288,0.9,1.0,1.0,1.0
29,1.290155172954916,2.8548731946248207,0.9,1.0,1.0,1.0
30,3.3027872565298857,2.9410167790857145,0.9,1.0,1.0,1.0
31,2.5660935144922816,1.6249714185673234,0.9,1.0,1.0,1.0
32,1.7972414339715161,1.3486772259431619,0.9,1.0,1.0,1.0
33,0.8037445623264869,1.2560785129696257,0.9,1.0,1.0,1.0
34,1.339349528669334,-0.22640954351118037,0.9,1.0,1.0,1.0
35,2.3343868685232922,2.9718577711744136,0.9,1.0,1.0,1.0
36,1.9870007240160878,1.4482294063983447,0.9,1.0,1.0,1.0
37,0.948144174651951,2.0959568353855147,0.9,1.0,1.0,1.0
38,0.02884854149551641,-2.365411763404955,0.9,1.0,1.0,1.0
39,0.6765564751706659,-0.11000929993350284,0.9,1.0,1.0,1.0
40,1.3521549988570416,-0.3343131523770604,0.9,1.0,1.0,1.0
41,1.7600937672765324,0.9338643009125799,0.9,1.0,1.0,1.0
42,0.918574683260185,1.1662405843691281,0.9,1.0,1.0,1.0
43,1.0588785380008863,0.8796519125511314,0.9,1.0,1.0,1.0
44,1.069676493341526,0.816298924393511,0.9,1.0,1.0,1.0
45,1.1813974407363863,1.0222125693563255,0.9,1.0,1.0,1.0
46,1.9346864746109373,2.1380747152308808,0.9,1.0,1.0,1.0
47,1.964813375924526,0.9562773339814183,0.9,1.0,1.0,1.0
48,2.4472456014039685,3.1540952423030193,0.9,1.0,1.0,1.0
49,2.270100110752463,2.932766081137947,0.9,1.0,1.0,1.0
50,2.3322094983672006,2.7172474360233014,0.9,1.0,1.0,1.0
51,2.730276774369021,3.286810217120284,0.9,1.0,1.0,1.0
52,1.0000932770764523,1.2965112778851118,0.9,1.0,1.0,1.0
53,0.5804127330115058,2.615486035742573,0.9,1.0,1.0,1.0
54,0.051998805417559635,-0.03509536563495026,0.9,1.0,1.0,1.0
55,-0.5920789233675383,-0.8991621417021151,0.9,1.0,1.0,1.0
56,-0.8080132822574682,-1.5615408626148461,0.9,1.0,1.0,1.0
57,0.7677293572026745,-0.2645333133751623,0.9,1.0,1.0,1.0
58,-0.17487469421083612,-1.4193464818119115,0.9,1.0,1.0,1.0
59,0.8108911298017283,-0.0779061834291902,0.9,1.0,1.0,1.0
60,-0.9530677547942493,-1.0237481364463206,0.9,1.0,1.0,1.0
61,-1.1926460093005993,-0.8583508808028848,0.9,1.0,1.0,1.0
62,-0.9106283432655338,-0.859486284713372,0.9,1.0,1.0,1.0
63,-0.23334317757970224,-0.9988784550094152,0.9,1.0,1.0,1.0
64,0.501217719971123,1.4014022839910862,0.9,1.0,1.0,1.0
65,1.244443183173936,1.9838558554748835,0.9,1.0,1.0,1.0
66,0.7712737926081048,0.6116254851860878,0.9,1.0,1.0,1.0
67,0.23179462068272716,-0.4211215239819849,0.9,1.0,1.0,1.0
68,1.0665910398716083,1.6150189607014078,0.9,1.0,1.0,1.0
69,0.7686276110028326,0.9566011984889371,0.9,1.0,1.0,1.0
70,-0.5839214734353725,-2.03204873285042,0.9,1.0,1.0,1.0
71,-1.6588165400953159,-1.7267967960797208,0.9,1.0,1.0,1.0
72,-2.4123871720873957,-2.1503513600130146,0.9,1.0,1.0,1.0
73,-1.6739877108248922,-2.573682497312646,0.9,1.0,1.0,1.0
74,-1.3641632036718379,-1.1743198108343949,0.9,1.0,1.0,1.0
75,-0.5372615292368859,-1.992084014494675,0.9,1.0,1.0,1.0
76,-0.9107880226497316,0.4253980773624393,0.9,1.0,1.0,1.0
77,-0.6611695293080442,0.5867804557513876,0.9,1.0,1.0,1.0
78,0.030537817590096994,-0.22197951671286775,0.9,1.0,1.0,1.0
79,-0.28186250388915113,0.08159183394992203,0.9,1.0,1.0,1.0
80,0.2030989840571754,-2.2068229817426994,0.9,1.0,1.0,1.0
81,-0.47913685541519335,-1.6354845156805262,0.9,1.0,1.0,1.0
82,-0.7942770164387458,-1.0880559365908757,0.9,1.0,1.0,1.0
83,-1.0965872087932003,-2.1687202302200594,0.9,1.0,1.0,1.0
84,-2.18276813350292,-1.4683716508722613,0.9,1.0,1.0,1.0
85,-1.4775188393670464,0.5197776913809475,0.9,1.0,1.0,1.0
86,-1.7991692956330656,-2.9757840150623673,0.9,1.0,1.0,1.0
87,-1.6067582473420716,-2.4442216514272643,0.9,1.0,1.0,1.0
88,-0.9653357637019556,-0.7298873953920253,0.9,1.0,1.0,1.0
89,-0.422271011301816,1.1888451371978048,0.9,1.0,1.0,1.0
90,0.28534119880115183,-0.9370331137387513,0.9,1.0,1.0,1.0
91,0.15832159441161303,0.40735771671855503,0.9,1.0,1.0,1.0
92,-0.280808877073702,1.5404899737394067,0.9,1.0,1.0,1.0
93,-0.33244620027273086,-1.9842053484519981,0.9,1.0,1.0,1.0
94,-1.9865360142034876,-3.26760522104932,0.9,1.0,1.0,1.0
95,-3.234994885206226,-3.6586014916670644,0.9,1.0,1.0,1.0
96,-4.234195009040006,-4.754783421895417,0.9,1.0,1.0,1.0
97,-4.808022335737487,-3.995421047983842,0.9,1.0,1.0,1.0
98,-3.9274458754403017,-3.6857861556194638,0.9,1.0,1.0,1.0
99,-4.4401803432563325,-6.2151424028984605,0.9,1.0,1.0,1.0
100,-4.374324862970089,-3.858914460069278,0.9,1.0,1.0,1.0
101,-2.6376640788870147,-3.215202966242665,0.9,1.0,1.0,1.0
102,-2.7301616420597394,-1.4557144251185004,0.9,1.0,1.0,1.0
103,-1.7196299093866791,-2.347217445823599,0.9,1.0,1.0,1.0
104,-2.481284598457888,-3.117899881560124,0.9,1.0,1.0,1.0
105,-2.4385936964797295,-1.897462085675198,0.9,1.0,1.0,1.0
106,-3.144756381742338,-2.3818298994054015,0.9,1.0,1.0,1.0
107,-3.1693138194686665,-2.721214455532463,0.9,1.0,1.0,1.0
108,-2.0120743000644046,-3.697671617449213,0.9,1.0,1.0,1.0
109,-3.5381872932503127,-3.000152853322062,0.9,1.0,1.0,1.0
110,-2.7499449203794244,-3.7842529720538236,0.9,1.0,1.0,1.0
111,-2.237214826009204,-2.0019387144209406,0.9,1.0,1.0,1.0
112,-2.607643299105078,-4.031377734504138,0.9,1.0,1.0,1.0
113,-3.792936823583025,-3.3466146760399615,0.9,1.0,1.0,1.0
114,-3.341513633510853,-4.148112537818226,0.9,1.0,1.0,1.0
115,-3.5368549792235706,-4.819489629484092,0.9,1.0,1.0,1.0
116,-2.9504932699465094,-2.2366731334641097,0.9,1.0,1.0,1.0
117,-2.6335917974284153,-2.391947275751664,0.9,1.0,1.0,1.0
118,-0.7684537263646585,-1.3824305277575557,0.9,1.0,1.0,1.0
119,-0.9309639812012169,0.5202148678198473,0.9,1.0,1.0,1.0
120,-1.86136507570296,-2.3020174972727023,0.9,1.0,1.0,1.0
121,-1.4959529331763481,-1.4638452592054134,0.9,1.0,1.0,1.0
