t,S,I,R,reported_cases
0,9873.3472,114.5001,10.0000,51
1,9840.7106,135.3838,21.4500,66
2,9809.5364,165.7026,34.9884,90
3,9764.4599,193.1019,51.5587,100
4,9720.1193,229.5851,70.8688,118
5,9658.4945,275.4017,93.8274,131
6,9600.1120,325.6284,121.3675,166
7,9512.4897,392.4925,153.9304,191
8,9392.2375,468.5036,193.1796,232
9,9248.5166,556.3780,240.0300,285
10,9102.8608,656.2283,295.6678,335
11,8926.5453,772.9685,361.2906,390
12,8716.7957,910.1446,438.5875,470
13,8461.9607,1055.4620,529.6019,540
14,8201.1346,1221.8209,635.1481,597
15,7909.1049,1399.2918,757.3302,708
16,7567.8960,1593.8628,897.2594,786
17,7201.7578,1797.1348,1056.6457,922
18,6818.0497,2002.3876,1236.3592,998
19,6396.5199,2214.1551,1436.5979,1093
20,5976.4408,2419.8588,1658.0134,1222
21,5538.3435,2611.3387,1899.9993,1328
22,5091.2418,2779.0933,2161.1332,1356
23,4663.2081,2929.3426,2439.0425,1485
24,4243.9038,3044.5172,2731.9768,1547
25,3860.6289,3128.8733,3036.4285,1528
26,3498.9677,3175.7211,3349.3158,1586
27,3181.6331,3190.3045,3666.8879,1577
28,2879.3217,3182.5814,3985.9184,1610
29,2619.0445,3133.2897,4304.1765,1526
30,2368.9596,3059.2641,4617.5055,1576
31,2136.8334,2965.6779,4923.4319,1451
32,1966.6859,2873.7942,5219.9997,1458
33,1789.0010,2753.8936,5507.3791,1409
34,1651.8592,2627.0910,5782.7685,1295
35,1504.9248,2492.1379,6045.4776,1232
36,1410.0897,2356.0899,6294.6913,1139
37,1298.5714,2215.3242,6530.3003,1127
38,1204.0548,2084.2870,6751.8328,1017
39,1132.6164,1950.3629,6960.2615,948
40,1070.8068,1819.3221,7155.2977,893
41,1014.0884,1703.7296,7337.2300,870
42,964.4502,1583.1340,7507.6029,810
43,934.0022,1471.5424,7665.9163,773
44,909.2787,1374.2392,7813.0706,688
45,886.4062,1268.7671,7950.4945,623
46,848.7208,1175.6040,8077.3712,595
47,832.8629,1088.4293,8194.9316,572
48,805.1803,1002.5656,8303.7745,523
49,777.6217,931.1060,8404.0311,445
50,751.0586,858.0784,8497.1417,430
51,745.0985,790.8321,8582.9495,421
52,729.8461,730.3092,8662.0327,365
53,716.1379,685.8560,8735.0637,342
54,698.5291,624.6882,8803.6493,309
55,697.4967,571.6649,8866.1181,291
56,680.2403,522.0761,8923.2846,264
57,654.9157,491.1689,8975.4922,237
58,663.6346,466.2275,9024.6091,222
59,657.7681,437.5304,9071.2318,226
60,656.9076,404.5850,9114.9849,209
61,635.1854,370.9089,9155.4434,184
62,622.5643,343.2436,9192.5343,161
63,619.6711,315.5957,9226.8586,156
64,641.9450,300.3690,9258.4182,159
65,628.5298,270.5546,9288.4551,144
66,628.2297,239.8778,9315.5105,135
67,626.3459,220.6733,9339.4983,114
68,619.6796,203.5153,9361.5657,103
69,618.8561,185.0876,9381.9172,99
70,632.6933,162.3458,9400.4259,85
71,628.9986,143.9282,9416.6605,68
72,632.1093,140.9129,9431.0533,72
73,646.8764,131.6887,9445.1446,63
